Anno,Position,id,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
2023-24,,1,Boston Celtics,4,4,0,1.000,48.0,127.0,46.8,92.3,50.7,16.8,41.5,40.4,16.8,20.0,83.8,12.3,40.0,52.3,24.0,14.8,7.3,6.3,4.0,20.3,17.8,20.5
2023-24,,1,Dallas Mavericks,4,4,0,1.000,48.0,122.5,42.5,88.8,47.9,18.3,44.5,41.0,19.3,25.8,74.8,10.0,35.3,45.3,22.8,12.8,5.5,3.5,4.0,15.8,24.0,9.0
2023-24,,3,Denver Nuggets,5,4,1,.800,48.0,110.8,45.4,89.4,50.8,10.8,31.8,34.0,9.2,14.0,65.7,8.8,34.2,43.0,29.0,14.6,7.6,7.6,4.4,18.0,18.2,7.2
2023-24,,3,Golden State Warriors,5,4,1,.800,48.0,112.8,41.8,89.6,46.7,13.6,38.4,35.4,15.6,20.0,78.0,12.2,35.2,47.4,27.6,15.4,8.4,5.6,4.2,20.6,18.6,8.8
2023-24,,3,New Orleans Pelicans,5,4,1,.800,48.0,108.8,39.4,89.4,44.1,12.0,35.6,33.7,18.0,25.6,70.3,11.6,34.0,45.6,23.0,13.6,7.4,5.0,5.4,19.8,22.4,0.2
2023-24,,6,Philadelphia 76ers,4,3,1,.750,48.0,117.8,41.5,85.0,48.8,11.5,29.0,39.7,23.3,28.5,81.6,9.8,34.8,44.5,24.8,14.0,9.5,7.8,5.3,21.3,22.0,12.3
2023-24,,7,Atlanta Hawks,5,3,2,.600,48.0,122.8,44.4,90.2,49.2,11.0,32.0,34.4,23.0,27.0,85.2,10.4,34.6,45.0,27.6,15.0,9.6,3.8,4.0,16.8,21.2,5.6
2023-24,,7,LA Clippers,5,3,2,.600,49.0,121.4,45.2,89.2,50.7,14.8,35.2,42.0,16.2,23.0,70.4,10.0,33.8,43.8,25.4,15.8,11.2,4.6,5.2,23.0,23.0,12.2
2023-24,,7,Los Angeles Lakers,5,3,2,.600,50.0,114.0,41.6,88.2,47.2,9.8,32.4,30.2,21.0,27.4,76.6,8.2,37.8,46.0,26.0,14.0,8.0,6.8,4.0,20.8,23.4,-0.8
2023-24,,7,Oklahoma City Thunder,5,3,2,.600,48.0,111.4,40.8,86.0,47.4,11.6,32.0,36.3,18.2,21.6,84.3,6.0,36.4,42.4,23.6,14.8,7.4,6.6,5.2,18.6,19.6,-0.4
2023-24,,7,Orlando Magic,5,3,2,.600,48.0,107.6,38.6,85.2,45.3,9.8,31.0,31.6,20.6,29.0,71.0,11.2,34.6,45.8,23.8,14.8,10.6,5.2,5.0,21.4,23.6,3.6
2023-24,,7,San Antonio Spurs,5,3,2,.600,49.0,115.0,43.2,90.6,47.7,13.4,36.8,36.4,15.2,19.8,76.8,8.8,31.8,40.6,29.6,16.4,9.0,5.8,4.2,20.2,19.0,-6.2
2023-24,,13,Brooklyn Nets,4,2,2,.500,48.0,118.8,43.3,86.3,50.1,14.5,34.8,41.7,17.8,23.5,75.5,10.0,37.5,47.5,28.0,16.5,6.5,5.5,4.5,20.3,20.3,2.5
2023-24,,13,Indiana Pacers,4,2,2,.500,48.0,119.3,46.5,98.5,47.2,13.0,41.0,31.7,13.3,16.5,80.3,10.0,34.3,44.3,31.5,11.5,6.5,5.8,5.8,21.8,15.8,-5.8
2023-24,,13,Milwaukee Bucks,4,2,2,.500,48.0,115.3,39.8,82.5,48.2,13.0,36.3,35.9,22.8,31.0,73.4,9.0,29.5,38.5,21.3,16.0,9.0,3.5,3.5,21.3,22.5,-6.8
2023-24,,13,Minnesota Timberwolves,4,2,2,.500,48.0,105.8,40.0,89.8,44.6,11.0,29.8,37.0,14.8,18.0,81.9,10.3,38.3,48.5,23.5,14.5,7.8,5.5,7.3,15.8,16.0,5.0
2023-24,,13,Sacramento Kings,4,2,2,.500,49.3,119.3,43.3,97.0,44.6,14.8,43.5,33.9,18.0,24.0,75.0,11.3,34.0,45.3,26.8,12.8,7.5,5.5,3.8,21.5,20.8,3.0
2023-24,,18,Chicago Bulls,5,2,3,.400,49.0,105.4,39.4,92.4,42.6,9.6,31.8,30.2,17.0,20.8,81.7,12.4,30.2,42.6,19.6,12.8,9.6,4.4,3.4,19.6,20.2,-7.4
2023-24,,18,Cleveland Cavaliers,5,2,3,.400,48.0,103.6,38.6,90.4,42.7,12.6,37.8,33.3,13.8,17.8,77.5,11.2,34.8,46.0,23.0,12.8,7.0,6.2,4.8,20.2,17.2,-5.2
2023-24,,18,New York Knicks,5,2,3,.400,48.0,103.0,36.4,91.0,40.0,12.6,37.2,33.9,17.6,25.4,69.3,14.6,35.2,49.8,21.8,14.8,8.8,2.6,6.6,18.6,22.0,1.0
2023-24,,18,Phoenix Suns,5,2,3,.400,48.0,112.8,41.2,84.8,48.6,12.8,34.4,37.2,17.6,21.8,80.7,9.0,36.0,45.0,25.0,17.4,7.0,5.6,6.4,19.0,20.8,1.8
2023-24,,18,Portland Trail Blazers,5,2,3,.400,48.0,103.0,38.2,88.2,43.3,8.8,30.0,29.3,17.8,21.6,82.4,12.8,32.0,44.8,19.4,16.6,8.4,5.6,7.4,20.8,20.8,-5.6
2023-24,,23,Detroit Pistons,6,2,4,.333,48.0,110.0,41.0,90.2,45.5,12.0,30.8,38.9,16.0,20.2,79.3,13.7,34.5,48.2,28.3,18.2,6.0,6.2,6.5,26.2,18.8,-0.5
2023-24,,23,Toronto Raptors,6,2,4,.333,48.8,104.5,40.0,87.5,45.7,11.5,33.0,34.8,13.0,18.0,72.2,11.2,35.3,46.5,27.3,16.5,6.7,5.2,5.5,21.3,18.2,-1.5
2023-24,,23,Utah Jazz,6,2,4,.333,48.0,114.3,42.2,92.0,45.8,13.7,36.5,37.4,16.3,22.0,74.2,14.7,34.2,48.8,27.8,16.8,6.8,3.8,7.5,22.3,21.2,-3.7
2023-24,,26,Charlotte Hornets,4,1,3,.250,48.0,113.8,42.0,90.0,46.7,9.3,30.8,30.1,20.5,26.3,78.1,11.5,32.3,43.8,27.0,15.8,8.8,5.8,4.3,21.5,22.3,-6.8
2023-24,,26,Houston Rockets,4,1,3,.250,49.3,107.8,40.5,88.3,45.9,12.5,34.0,36.8,14.3,19.5,73.1,8.8,29.8,38.5,26.5,15.3,7.5,2.8,6.0,23.0,18.5,-9.0
2023-24,,26,Washington Wizards,4,1,3,.250,48.0,115.3,43.5,94.3,46.2,11.5,36.5,31.5,16.8,22.8,73.6,9.8,31.5,41.3,27.8,13.0,10.3,5.3,6.3,16.0,20.3,-11.0
2023-24,,29,Miami Heat,5,1,4,.200,48.0,104.6,38.0,89.0,42.7,12.4,33.0,37.6,16.2,20.2,80.2,10.8,33.4,44.2,23.8,13.4,8.4,3.4,6.2,17.2,20.0,-7.0
2023-24,,30,Memphis Grizzlies,5,0,5,.000,48.0,106.6,38.2,90.8,42.1,13.8,42.8,32.2,16.4,21.0,78.1,10.2,33.0,43.2,23.8,16.0,9.8,6.6,5.8,21.4,18.6,-11.4
2023-24,F,1,Boston Celtics,4,4,0,1.000,32.1,92.8,34.0,68.3,49.8,11.8,29.5,39.8,13.0,15.8,82.5,9.3,29.5,38.8,11.5,10.0,5.5,3.3,3.3,14.8,11.8,12.7
2023-24,F,1,Dallas Mavericks,4,4,0,1.000,29.3,87.8,28.8,58.5,49.1,15.5,35.0,44.3,14.8,19.0,77.6,4.8,24.8,29.5,14.5,8.0,2.5,2.0,2.0,8.3,17.8,5.2
2023-24,F,3,Denver Nuggets,5,4,1,.800,14.5,29.2,12.4,24.8,50.0,2.6,9.0,28.9,1.8,3.4,52.9,4.0,11.2,15.2,5.8,4.1,2.2,2.4,1.2,6.8,5.6,1.5
2023-24,F,3,Golden State Warriors,5,4,1,.800,21.3,41.8,16.4,35.8,45.8,2.8,9.0,31.1,6.2,9.2,67.4,8.8,17.8,26.6,10.6,7.2,2.6,3.4,2.8,11.4,8.8,2.5
2023-24,F,3,New Orleans Pelicans,5,4,1,.800,23.1,50.6,19.2,40.8,47.1,4.4,12.8,34.4,7.8,11.6,67.2,6.2,15.8,22.0,9.4,7.0,3.2,2.4,3.2,11.2,12.2,-1.1
2023-24,F,6,Philadelphia 76ers,4,3,1,.750,28.6,80.5,29.0,54.3,53.5,7.0,17.0,41.2,15.5,20.0,77.5,6.8,23.3,30.0,11.0,8.2,6.0,5.3,2.8,12.8,16.0,7.3
2023-24,F,7,Atlanta Hawks,5,3,2,.600,24.1,56.8,21.2,37.2,57.0,5.6,14.6,38.4,8.8,10.4,84.6,5.8,19.6,25.4,7.0,7.6,4.6,1.8,1.0,11.0,8.0,3.3
2023-24,F,7,LA Clippers,5,3,2,.600,26.7,66.0,23.4,47.4,49.4,9.0,20.6,43.7,10.2,13.8,73.9,6.0,18.0,24.0,13.8,8.6,7.6,2.0,2.2,10.4,13.0,6.9
2023-24,F,7,Los Angeles Lakers,5,3,2,.600,31.0,77.8,28.4,55.4,51.3,6.6,18.8,35.1,14.4,19.6,73.5,6.4,30.8,37.2,13.2,8.6,4.4,6.2,2.6,12.6,16.0,0.6
2023-24,F,7,Oklahoma City Thunder,5,3,2,.600,16.9,38.4,13.4,27.8,48.2,4.4,12.4,35.5,7.2,8.4,85.7,1.8,13.6,15.4,7.6,4.9,1.6,3.2,1.4,7.4,7.6,-1.2
2023-24,F,7,Orlando Magic,5,3,2,.600,28.2,60.0,20.6,48.0,42.9,5.0,17.8,28.1,13.8,20.0,69.0,7.0,22.4,29.4,13.4,8.6,6.0,3.2,3.4,13.6,16.2,2.2
2023-24,F,7,San Antonio Spurs,5,3,2,.600,43.5,105.0,40.2,84.2,47.7,12.4,34.0,36.5,12.2,16.6,73.5,7.8,28.8,36.6,23.2,14.7,8.0,5.4,4.0,19.0,16.4,-7.6
2023-24,F,13,Brooklyn Nets,4,2,2,.500,31.6,67.8,24.8,49.5,50.0,9.3,22.8,40.7,9.0,12.0,75.0,6.3,26.8,33.0,20.3,10.8,4.5,3.5,1.5,12.3,11.5,-0.6
2023-24,F,13,Indiana Pacers,4,2,2,.500,35.3,84.8,33.3,70.0,47.5,8.3,28.0,29.5,10.0,13.0,76.9,7.5,26.8,34.3,13.5,8.6,4.5,4.8,3.8,18.3,13.0,-5.3
2023-24,F,13,Milwaukee Bucks,4,2,2,.500,21.0,55.8,20.5,39.3,52.2,3.3,10.0,32.5,11.5,17.8,64.8,5.8,15.3,21.0,9.8,6.8,4.0,2.5,1.8,10.3,12.8,-0.7
2023-24,F,13,Minnesota Timberwolves,4,2,2,.500,24.2,52.0,20.3,45.3,44.8,4.8,14.8,32.2,6.8,7.8,87.1,3.8,20.8,24.5,11.3,7.3,4.5,2.3,4.5,7.3,8.0,2.8
2023-24,F,13,Sacramento Kings,4,2,2,.500,31.6,71.3,26.5,58.5,45.3,8.3,25.8,32.0,10.0,14.5,69.0,8.8,26.8,35.5,13.5,7.9,4.8,3.5,2.3,10.3,12.3,2.7
2023-24,F,18,Chicago Bulls,5,2,3,.400,16.1,32.2,11.8,29.0,40.7,2.0,7.8,25.6,6.6,8.0,82.5,4.2,7.6,11.8,6.2,4.0,3.4,2.0,1.4,7.2,7.0,-3.4
2023-24,F,18,Cleveland Cavaliers,5,2,3,.400,25.3,39.0,14.0,37.2,37.6,6.4,21.4,29.9,4.6,5.8,79.3,5.6,18.4,24.0,9.4,6.8,2.2,2.4,1.4,12.2,7.0,-3.7
2023-24,F,18,New York Knicks,5,2,3,.400,21.6,44.2,15.4,38.2,40.3,3.8,11.6,32.8,9.6,14.6,65.8,11.0,18.6,29.6,9.2,6.6,4.0,2.2,4.4,8.4,11.6,0.7
2023-24,F,18,Phoenix Suns,5,2,3,.400,18.7,47.8,18.0,34.4,52.3,3.6,10.4,34.6,8.2,11.4,71.9,2.2,16.6,18.8,7.4,6.7,2.6,3.4,1.8,7.0,9.8,0.8
