Anno,Position,id,TEAM,WIN%,3PM,3PA,3P%,FGM,FGA,FG%,AST,BLKA,TOV
2024,All,1,Boston Celtics,1.0,16.8,41.5,40.4,46.8,92.3,50.7,24.0,4.0,14.8
2024,All,1,Dallas Mavericks,1.0,18.3,44.5,41.0,42.5,88.8,47.9,22.8,4.0,12.8
2024,All,3,Denver Nuggets,0.8,10.8,31.8,34.0,45.4,89.4,50.8,29.0,4.4,14.6
2024,All,3,Golden State Warriors,0.8,13.6,38.4,35.4,41.8,89.6,46.7,27.6,4.2,15.4
2024,All,3,New Orleans Pelicans,0.8,12.0,35.6,33.7,39.4,89.4,44.1,23.0,5.4,13.6
2024,All,6,Philadelphia 76ers,0.75,11.5,29.0,39.7,41.5,85.0,48.8,24.8,5.3,14.0
2024,All,7,Atlanta Hawks,0.6,11.0,32.0,34.4,44.4,90.2,49.2,27.6,4.0,15.0
2024,All,7,LA Clippers,0.6,14.8,35.2,42.0,45.2,89.2,50.7,25.4,5.2,15.8
2024,All,7,Los Angeles Lakers,0.6,9.8,32.4,30.2,41.6,88.2,47.2,26.0,4.0,14.0
2024,All,7,Oklahoma City Thunder,0.6,11.6,32.0,36.3,40.8,86.0,47.4,23.6,5.2,14.8
2024,All,7,Orlando Magic,0.6,9.8,31.0,31.6,38.6,85.2,45.3,23.8,5.0,14.8
2024,All,7,San Antonio Spurs,0.6,13.4,36.8,36.4,43.2,90.6,47.7,29.6,4.2,16.4
2024,All,13,Brooklyn Nets,0.5,14.5,34.8,41.7,43.3,86.3,50.1,28.0,4.5,16.5
2024,All,13,Indiana Pacers,0.5,13.0,41.0,31.7,46.5,98.5,47.2,31.5,5.8,11.5
2024,All,13,Milwaukee Bucks,0.5,13.0,36.3,35.9,39.8,82.5,48.2,21.3,3.5,16.0
2024,All,13,Minnesota Timberwolves,0.5,11.0,29.8,37.0,40.0,89.8,44.6,23.5,7.3,14.5
2024,All,13,Sacramento Kings,0.5,14.8,43.5,33.9,43.3,97.0,44.6,26.8,3.8,12.8
2024,All,18,Chicago Bulls,0.4,9.6,31.8,30.2,39.4,92.4,42.6,19.6,3.4,12.8
2024,All,18,Cleveland Cavaliers,0.4,12.6,37.8,33.3,38.6,90.4,42.7,23.0,4.8,12.8
2024,All,18,New York Knicks,0.4,12.6,37.2,33.9,36.4,91.0,40.0,21.8,6.6,14.8
2024,All,18,Phoenix Suns,0.4,12.8,34.4,37.2,41.2,84.8,48.6,25.0,6.4,17.4
2024,All,18,Portland Trail Blazers,0.4,8.8,30.0,29.3,38.2,88.2,43.3,19.4,7.4,16.6
2024,All,23,Detroit Pistons,0.333,12.0,30.8,38.9,41.0,90.2,45.5,28.3,6.5,18.2
2024,All,23,Toronto Raptors,0.333,11.5,33.0,34.8,40.0,87.5,45.7,27.3,5.5,16.5
2024,All,23,Utah Jazz,0.333,13.7,36.5,37.4,42.2,92.0,45.8,27.8,7.5,16.8
2024,All,26,Charlotte Hornets,0.25,9.3,30.8,30.1,42.0,90.0,46.7,27.0,4.3,15.8
2024,All,26,Houston Rockets,0.25,12.5,34.0,36.8,40.5,88.3,45.9,26.5,6.0,15.3
2024,All,26,Washington Wizards,0.25,11.5,36.5,31.5,43.5,94.3,46.2,27.8,6.3,13.0
2024,All,29,Miami Heat,0.2,12.4,33.0,37.6,38.0,89.0,42.7,23.8,6.2,13.4
2024,All,30,Memphis Grizzlies,0.0,13.8,42.8,32.2,38.2,90.8,42.1,23.8,5.8,16.0
2024,F,1,Boston Celtics,1.0,11.8,29.5,39.8,34.0,68.3,49.8,11.5,3.3,10.0
2024,F,1,Dallas Mavericks,1.0,15.5,35.0,44.3,28.8,58.5,49.1,14.5,2.0,8.0
2024,F,3,Denver Nuggets,0.8,2.6,9.0,28.9,12.4,24.8,50.0,5.8,1.2,4.1
2024,F,3,Golden State Warriors,0.8,2.8,9.0,31.1,16.4,35.8,45.8,10.6,2.8,7.2
2024,F,3,New Orleans Pelicans,0.8,4.4,12.8,34.4,19.2,40.8,47.1,9.4,3.2,7.0
2024,F,6,Philadelphia 76ers,0.75,7.0,17.0,41.2,29.0,54.3,53.5,11.0,2.8,8.2
2024,F,7,Atlanta Hawks,0.6,5.6,14.6,38.4,21.2,37.2,57.0,7.0,1.0,7.6
2024,F,7,LA Clippers,0.6,9.0,20.6,43.7,23.4,47.4,49.4,13.8,2.2,8.6
2024,F,7,Los Angeles Lakers,0.6,6.6,18.8,35.1,28.4,55.4,51.3,13.2,2.6,8.6
2024,F,7,Oklahoma City Thunder,0.6,4.4,12.4,35.5,13.4,27.8,48.2,7.6,1.4,4.9
2024,F,7,Orlando Magic,0.6,5.0,17.8,28.1,20.6,48.0,42.9,13.4,3.4,8.6
2024,F,7,San Antonio Spurs,0.6,12.4,34.0,36.5,40.2,84.2,47.7,23.2,4.0,14.7
2024,F,13,Brooklyn Nets,0.5,9.3,22.8,40.7,24.8,49.5,50.0,20.3,1.5,10.8
2024,F,13,Indiana Pacers,0.5,8.3,28.0,29.5,33.3,70.0,47.5,13.5,3.8,8.6
2024,F,13,Milwaukee Bucks,0.5,3.3,10.0,32.5,20.5,39.3,52.2,9.8,1.8,6.8
2024,F,13,Minnesota Timberwolves,0.5,4.8,14.8,32.2,20.3,45.3,44.8,11.3,4.5,7.3
2024,F,13,Sacramento Kings,0.5,8.3,25.8,32.0,26.5,58.5,45.3,13.5,2.3,7.9
2024,F,18,Chicago Bulls,0.4,2.0,7.8,25.6,11.8,29.0,40.7,6.2,1.4,4.0
2024,F,18,Cleveland Cavaliers,0.4,6.4,21.4,29.9,14.0,37.2,37.6,9.4,1.4,6.8
2024,F,18,New York Knicks,0.4,3.8,11.6,32.8,15.4,38.2,40.3,9.2,4.4,6.6
2024,F,18,Phoenix Suns,0.4,3.6,10.4,34.6,18.0,34.4,52.3,7.4,1.8,6.7
2024,F,18,Portland Trail Blazers,0.4,3.2,11.8,27.1,13.6,33.4,40.7,4.2,3.8,7.6
2024,F,23,Detroit Pistons,0.333,2.8,9.7,29.3,14.3,32.0,44.8,7.5,2.8,7.2
2024,F,23,Toronto Raptors,0.333,7.5,23.5,31.9,27.2,60.2,45.2,14.5,3.5,10.7
2024,F,23,Utah Jazz,0.333,7.3,16.8,43.6,18.8,37.2,50.7,7.3,2.7,6.6
2024,F,26,Charlotte Hornets,0.25,5.8,14.5,39.7,21.3,42.5,50.0,10.0,2.3,7.5
2024,F,26,Houston Rockets,0.25,6.0,16.8,35.8,17.5,37.3,47.0,9.3,1.8,7.7
2024,F,26,Washington Wizards,0.25,6.0,18.3,32.9,26.8,52.3,51.2,9.8,2.5,6.6
2024,F,29,Miami Heat,0.2,5.2,14.8,35.1,21.2,48.8,43.4,9.6,2.8,6.6
2024,F,30,Memphis Grizzlies,0.0,5.8,18.6,31.2,18.8,45.2,41.6,8.6,3.6,8.6
2024,C,1,Boston Celtics,1.0,3.0,7.3,41.4,8.3,16.8,49.3,3.5,0.8,3.3
2024,C,1,Dallas Mavericks,1.0,0.3,0.3,100.0,4.8,5.8,82.6,2.0,0.0,1.9
2024,C,3,Denver Nuggets,0.8,1.6,4.8,33.3,13.0,22.0,59.1,7.8,2.0,3.0
2024,C,3,Golden State Warriors,0.8,1.4,3.8,36.8,2.8,7.6,36.8,2.2,0.8,1.1
2024,C,3,New Orleans Pelicans,0.8,1.6,3.6,44.4,7.0,14.4,48.6,3.2,1.4,2.5
2024,C,6,Philadelphia 76ers,0.75,1.5,4.0,37.5,10.8,21.5,50.0,7.0,1.0,1.9
2024,C,7,Atlanta Hawks,0.6,0.0,0.8,0.0,8.2,14.2,57.7,2.8,1.6,3.0
2024,C,7,LA Clippers,0.6,0.0,0.0,0.0,7.0,11.4,61.4,1.2,1.6,2.8
2024,C,7,Los Angeles Lakers,0.6,0.6,1.4,42.9,10.2,18.8,54.3,3.4,1.0,2.8
2024,C,7,Oklahoma City Thunder,0.6,2.2,4.2,52.4,5.8,9.6,60.4,2.4,0.2,2.2
2024,C,7,Orlando Magic,0.6,1.4,4.6,30.4,7.4,14.8,50.0,2.8,1.4,3.0
2024,C,7,San Antonio Spurs,0.6,2.6,9.2,28.3,14.2,27.6,51.4,7.2,1.0,5.0
2024,C,13,Brooklyn Nets,0.5,0.0,0.0,0.0,3.3,6.5,50.0,1.5,1.3,1.3
2024,C,13,Indiana Pacers,0.5,2.0,6.3,32.0,9.0,17.0,52.9,2.8,1.0,1.9
2024,C,13,Milwaukee Bucks,0.5,1.5,4.3,35.3,4.0,8.8,45.7,1.3,0.3,2.0
2024,C,13,Minnesota Timberwolves,0.5,3.3,10.0,32.5,17.0,38.0,44.7,4.8,4.0,5.2
2024,C,13,Sacramento Kings,0.5,0.5,1.5,33.3,10.0,18.0,55.6,6.5,1.3,2.6
2024,C,18,Chicago Bulls,0.4,0.6,2.6,23.1,9.4,19.0,49.5,3.0,0.2,2.6
2024,C,18,Cleveland Cavaliers,0.4,1.4,3.6,38.9,9.4,19.4,48.5,5.2,1.8,3.5
2024,C,18,New York Knicks,0.4,1.6,6.6,24.2,9.0,24.6,36.6,7.2,2.8,4.9
2024,C,18,Phoenix Suns,0.4,0.8,2.8,28.6,6.2,12.6,49.2,6.0,1.6,3.6
2024,C,18,Portland Trail Blazers,0.4,0.0,0.0,0.0,7.4,12.2,60.7,2.4,1.2,3.1
2024,C,23,Detroit Pistons,0.333,1.5,3.5,42.9,10.8,18.8,57.5,3.8,1.2,4.8
